TP,TC,PC,USERNAME,FILENAME,BIRTHYR,SEX,EDLEVEL,MATLANG,TESTDAY,TESTL,REFTEXT,FEEDB,PROTNOTE,PERSNOTE,NLR,NLF,NLX,BLR,BLF,BLX,FORMLR,FORMLF,FORMLX,NAR,NAF,NAX,MIPR,MIPF,MIPX,OR1R,OR1F,OR1X,OR2R,OR2F,OR2X,OR3R,OR3F,OR3X,OR4R,OR4F,OR4X,OR5R,OR5F,OR5X,S2DR,S2DF,S2DX,S3DR,S3DF,S3DX,PSIF1M,PSIF1F,PBOK1M,PBOK1F,PFIG1M,PFIG1F,BLFRR,SKPSM,SKPSF,SKPBM,SKPBF,SKPFM,SKPFF,SKLJR,SKLJF,MINNAR,MINNAF,MINNAX,ASSR,OFR,OFF,DNLR,DNLF,DNLX,DNLT,DBLR,DBLF,DBLX,DBLT,DFORMLR,DFORMLF,DFORMLX,DFORMLT,DNAR,DNAF,DNAX,DMIPR,DMIPF,DMIPX,DORE1R,DORE1F,DORE1X,DOR1R,DOR1F,DOR1X,DOR2R,DOR2F,DOR2X,DOR3R,DOR3F,DOR3X,DOR4R,DOR4F,DOR4X,DOR5R,DOR5F,DOR5X,DS2DR,DS2DF,DS2DX,DS3DR,DS3DF,DS3DX,DPSIF1M,DPSIF1F,DPBOK1M,DPBOK1F,DPFIG1M,DPFIG1F,DBLFRR,DSKPS1M,DSKPS1F,DSKPS2M,DSKPS2F,DSKPB1M,DSKPB1F,DSKPB2M,DSKPB2F,DSKPF1M,DSKPF1F,DSKPF2M,DSKPF2F,DSKLOGAR,DSKLOGBR,DSKADRAR,DSKADRBR,DSKTIDAR,DSKTIDBR,TX01,DMINNAR,DMINNAF,DMINNAX,EYS01,EYS02,EYS03,EYS04,EYS05,EYS06,EYS07,EYS08,EYS09,EYS10,EYS11,EYS12,EYS13,EYS14,EYS15,EYS16,EYS17,EYS18,EYS19,EYS20,IDNL,IDBL,IDFORML,IDNA,IDMIP,IDOR1,IDOR13,IDOR45,IDS2D,IDS3D,IDPSIF1,IDPBOK1,IDPFIG1,IDBLFR,IDSK,IDMINNA,IEYS
SVA1636002,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\DELS204.ATSPF,1992.0,Man,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,42604.0,lonpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVA1636001,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\TEAW223.ATSPF,1990.0,Kvinna,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,42555.0,lonpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,3.0,14.0,,,,,,,,,31.0,8.0,22.0,6.0,4.0,3.0,,,,13.0,1.0,1.0,11.0,3.0,9.0,7.0,6.0,12.0,,,,,,,15.0,1.0,0.0,13.0,0.0,1.0,87.0,4.0,70.0,4.0,61.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762999916649915000000000000000000000000X,,,X4263172144188572888828464458227766467750000000000000000000000000000000000000000000200019005901070036003800320033002600410044007400410049008800430044004300850152004000360210007800470048007202170071004900470164004000340125018001430052007100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000323276500023013760400601264327650003600047006903276500000000000000000000000000000000000X,,X461343332314524000000000000000232416262611416266664650000000635354656666233636466615600000X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100100000000100000100010000000000001000000000010000001010000000000001000000000100888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321491210000000000000000X,X0101010101010110111101011100010101111110011100100101001110110111010010011011101111001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010100101001010011010011100011011101100110100110111010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111010110000000000101101110100101010111100101111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1626012,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\XDES984.ATSPF,1979.0,Kvinna,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,42550.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,17.0,8.0,,,,,,,,,26.0,15.0,14.0,6.0,2.0,12.0,,,,22.0,5.0,3.0,21.0,3.0,2.0,20.0,7.0,3.0,,,,,,,11.0,8.0,1.0,14.0,3.0,1.0,30.0,2.0,84.0,8.0,103.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282562999914999999999999999999999999999999X,,,X4263133345188582778618465457424566437775300000000000000000000000000000000000000000210021003501160022003800340044002400330048005500300046008700590025002901240199003000470184011200250023016902110041004600340175003700280034007300830095011201010098000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000323276500023012860040832765327650003800006327653276532765327653276532765327653276532765X,,X421343322316524261544415555556232412252465414252242352460000323323251322633454235645514146X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000100000001000000000000110000000000000000010000100100000000100000010000000000001001000000000010000001000001000000000000000100100011000100000000000100001100000000110000000000100999999999999999988888888888888888888888888888888X,X422342321441231292000000000000X,X0101000101010110111001011100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100001111010110101101010011010011101010011100110110100110110010011001010010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010000111110111100101100101101110000101010111100101111010011001101001100001101100101100100101101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1626011,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\QWZZ119.ATSPF,1995.0,Kvinna,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,42543.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,9.0,1.0,42.0,,,,,,,,,49.0,10.0,44.0,8.0,3.0,0.0,,,,20.0,7.0,0.0,22.0,5.0,1.0,13.0,13.0,1.0,,,,,,,5.0,13.0,1.0,13.0,2.0,0.0,80.0,2.0,70.0,2.0,70.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416132687371287237884547317997254X,,,X4263172544188572788628466453224764467158317431287524768446400000000000000000000000280030003200560023003300300034002400210027005200470045002500430027006400290040004000250038003200320049003500650037002000330080003700390018011100580049004300570040002101270031002800350025009600620031007001220043011400650086006201470091000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000320000900023012860401801296009320007800047000000000000000000000000000000000000000000000X,,X421343354354524213524412525000232412252445413262252453335300335323254532613414154415124000X,,X0000000000000100000000001000000000000100000000000000000001000000010000000000000000000000100000000000100000000000000000000010000000000000001010009999999999999999000001000010000000000000100100000000010000000001000000000011000000100000000000010000001001000000000000100100100010010100000000000011000000000100888888888888888888888888888888888888888888888888X,X422442321431212000000000000000X,X0101010101010110111101011100011101111110101100110101001110110111010000111011101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011100011011001110110100110111010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X1111010000100111010110101000000111001110100001010111100101111001111001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1626010,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\KOGF231.ATSPF,1990.0,Man,Okänd,Annat,42537.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,0.0,18.0,,,,,,,,,32.0,7.0,26.0,9.0,3.0,0.0,,,,8.0,4.0,1.0,6.0,7.0,7.0,5.0,2.0,13.0,,,,,,,10.0,6.0,0.0,13.0,2.0,0.0,85.0,0.0,70.0,1.0,85.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416652614000000000000000000000000X,,,X4263172544188772788828465451223366467750000000000000000000000000000000000000000000210037004100970033008300610078002300560033009100290065004000760040008000530299006600500093008000340032004102200039009900460158006500340031008900560085006600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000310000900023012860400807296003070003800047006900000000000000000000000000000000000000000X,,X463313322415500000000000000000562516611441466662530000000000635626551666666663660000000000X,,X0010000000000000000000001000000000000000000000010000000000001000010000000000000000000000000000100000100000000000000000100000000000000010000010001000000010000000000001000010000000100000000100000000000000000101000010100000000000001010000000000010000000100000888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422344221431211000000000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010010101101010011010011101011011101110110100110111000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011010010100011110111100101110101101110100101010111100101111001011001101010100101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1626009,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\HXTO047.ATSPF,1984.0,Man,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,42536.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,0.0,20.0,,,,,,,,,44.0,2.0,38.0,,,,,,,8.0,1.0,0.0,8.0,4.0,10.0,3.0,3.0,6.0,,,,,,,15.0,0.0,0.0,20.0,0.0,0.0,80.0,0.0,64.0,1.0,92.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416837187370000000000000000000000X,,,X4263172544188572788628465451224764467357318431000000000000000000000000000000000000340023003000710031004900270066001700180027004900370029004100520035002700540080002500330127003800330034005803340020002700620210002200370048014400770020006202140024003201620104003100430000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,X421343352000000000000000000000262416266461416666624100000000625126556666000000000000000000X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100100000000100000100010000000000001000000000010000001010000000008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321431211422220000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110111100110111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100011010111100101110101101110100101010111100101111001011001101011101101111100101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1626008,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\ZEMK704.ATSPF,1983.0,Kvinna,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Annat,42529.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,0.0,11.0,,,,,,,,,16.0,13.0,7.0,2.0,5.0,9.0,,,,1.0,6.0,3.0,5.0,5.0,0.0,2.0,3.0,0.0,,,,,,,4.0,13.0,0.0,7.0,8.0,0.0,90.0,20.0,74.0,10.0,67.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762837100000000000000000000000000000000X,,,X4463135546182534585628762461200000000000000000000000000000000000000000000000000000260036007500720035003500620028003000230097008400580049008100430031005200410221004300640376012600580261027103170119000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700011000370001100023327653276500120327650005732765327653276532765327653276500000000000000000000X,,X112110002400000000000000000000211112222100000000000000000000132330000000000000000000000000X,,X0010000000000000000000001000000000000100000000000000000001000000001000000000000000000000100000000000000001000000000100000000000000100000000001000000000110000000000000000010000100000001100000000010010000000000000010100000000000001010000000000011000000000000001000100000010088888888888888888888888888888888888888888888888888888888888888888888888888888888X,X444332312432244000000000000000X,X0101010100010100100101001100010001110010001000110001001110000110000010011001000110001010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011110000010100101010011010011100011000110110110100110111010011011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0110010000000111010110100001010001101110000101000010100101001010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1626007,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\NNSR040.ATSPF,1992.0,Man,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Annat,42523.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,1.0,15.0,,,,,,,,,19.0,8.0,12.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,5.0,6.0,0.0,9.0,5.0,0.0,59.0,2.0,38.0,3.0,39.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282757273114997100000000000000000000000000X,,,X4267172144138651788228415450000000000000000000000000000000000000000000000000000000260073006801370053009300390300003700740044018400280102003600950036022800430201004601740090030200460073006300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0001200018000320001332765000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,X0000000000000100000000001000000000000000000000010000000001000000001000000000000000000000000000100000100000000000000000010000000000100010000000000000001001000000000001100000000088888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X431312321333210000000000000000X,X0101010101010110111101011100011001111110001100100101001100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0010100011111010110001001010011010010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011010010100011110111111000000111001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1626006,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\ESQI293.ATSPF,1961.0,Man,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,42520.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,0.0,24.0,,,,,,,,,58.0,0.0,46.0,9.0,1.0,0.0,,,,14.0,2.0,0.0,9.0,3.0,0.0,18.0,3.0,0.0,,,,,,,11.0,1.0,0.0,11.0,2.0,0.0,75.0,2.0,60.0,1.0,65.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416147187374384000000000000000000X,,,X4263172544188572788628465453224764467358318431787572786645000000000000000000000000300022002600700029002300290030001500170018006700230035004401000021002300240103002800260023003100250024002301780030001900170104002800230045010500300020002300990030003700360044002800270024004101370038011301890030009300310176004200950000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000320000900023012860400801296001330003800000000000000000000000000000000000000000000000000X,,X421343322313544400000000000000232413252315000000000000000000335122151322233454235000000000X,,X0010000000000000000000001000000000000100000000000000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100100000000100008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X442342321441200000000000000000X,X0101010101010110111101011100010101111110000100110101001110110111010010111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101001010011010011101011011101110110100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111010111100001110101101110100101010111100101111000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1626005,AR Växjö,Dator 06,eekcaARVäxjö,C:\Users\eekcaspc\Documents\ATS5\Personer\JWAT633.ATSPF,1991.0,Man,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,42515.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.0,3.0,25.0,,,,,,,,,43.0,2.0,42.0,14.0,2.0,0.0,,,,13.0,5.0,1.0,9.0,6.0,11.0,8.0,8.0,7.0,,,,,,,10.0,1.0,0.0,13.0,0.0,0.0,100.0,4.0,85.0,1.0,98.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416657187379984239999000000000000X,,,X4263172544188572788628465455224564467358318430000000000000000000000000000000000000190032001700740019002800230033002000260023003700270028003100410034003400210076005900290047002700240021001806150074002200730161004400200021003800310025002007560035002100460033002900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000320000900023012860400801296001090003800047006900082501430001580009000000000000000000000X,,X431343324314614422100000000000262416265655466662124336660000355326551166235665621610000000X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000001010000000088888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321431200000000000000000X,X0101010101010110111101011100011101110110001100110101001110110101010010111011101111001100110110001011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0010100011111010110101101010011010011101011011101110110100110111010011011011111000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100000000101101110100101000111100101111001011001001011101000111100101100100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
