TP,TC,PC,USERNAME,FILENAME,BIRTHYR,SEX,EDLEVEL,MATLANG,TESTDAY,TESTL,REFTEXT,FEEDB,PROTNOTE,PERSNOTE,NLR,NLF,NLX,BLR,BLF,BLX,FORMLR,FORMLF,FORMLX,NAR,NAF,NAX,MIPR,MIPF,MIPX,OR1R,OR1F,OR1X,OR2R,OR2F,OR2X,OR3R,OR3F,OR3X,OR4R,OR4F,OR4X,OR5R,OR5F,OR5X,S2DR,S2DF,S2DX,S3DR,S3DF,S3DX,PSIF1M,PSIF1F,PBOK1M,PBOK1F,PFIG1M,PFIG1F,BLFRR,SKPSM,SKPSF,SKPBM,SKPBF,SKPFM,SKPFF,SKLJR,SKLJF,MINNAR,MINNAF,MINNAX,ASSR,OFR,OFF,DNLR,DNLF,DNLX,DNLT,DBLR,DBLF,DBLX,DBLT,DFORMLR,DFORMLF,DFORMLX,DFORMLT,DNAR,DNAF,DNAX,DMIPR,DMIPF,DMIPX,DORE1R,DORE1F,DORE1X,DOR1R,DOR1F,DOR1X,DOR2R,DOR2F,DOR2X,DOR3R,DOR3F,DOR3X,DOR4R,DOR4F,DOR4X,DOR5R,DOR5F,DOR5X,DS2DR,DS2DF,DS2DX,DS3DR,DS3DF,DS3DX,DPSIF1M,DPSIF1F,DPBOK1M,DPBOK1F,DPFIG1M,DPFIG1F,DBLFRR,DSKPS1M,DSKPS1F,DSKPS2M,DSKPS2F,DSKPB1M,DSKPB1F,DSKPB2M,DSKPB2F,DSKPF1M,DSKPF1F,DSKPF2M,DSKPF2F,DSKLOGAR,DSKLOGBR,DSKADRAR,DSKADRBR,DSKTIDAR,DSKTIDBR,TX01,DMINNAR,DMINNAF,DMINNAX,EYS01,EYS02,EYS03,EYS04,EYS05,EYS06,EYS07,EYS08,EYS09,EYS10,EYS11,EYS12,EYS13,EYS14,EYS15,EYS16,EYS17,EYS18,EYS19,EYS20,IDNL,IDBL,IDFORML,IDNA,IDMIP,IDOR1,IDOR13,IDOR45,IDS2D,IDS3D,IDPSIF1,IDPBOK1,IDPFIG1,IDBLFR,IDSK,IDMINNA,IEYS
NSU1619101,Sundsvall,Dator 04,.,C:\Users\bijonspc\Documents\ATS5\Personer\EXJB077.ATSPF,1994.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,42388.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,10.0,16.0,,,,,,,3.0,7.0,0.0,2.0,4.0,14.0,0.0,5.0,16.0,,,,,,,10.0,1.0,3.0,16.0,0.0,0.0,50.0,2.0,63.0,3.0,86.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X4267172544188578783728476475224565000000000000000000000000000000000000000000000000310036003101030023004400290055002600330046008200520062006301710088004400400087003600350162009701110183006601560060007100760631003700650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,X455543134500000000000000000000362316666663266666660000000000266566632666666666661000000000X,,X0010000000000000000000001000000000000100000000000000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000199999999999999999999999999999999999999999999999988888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321431211400000000000000X,X0101010101010110111101011100010001111110001100110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011001111010110100110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100011110111100101110101101110100101010111100101111001001001101000101000101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NSU1549101,Sundsvall,Dator 04,.,C:\Users\bijonspc\Documents\ATS5\Personer\VIYZ478.ATSPF,1995.0,Man,"2 Grundskola, ingen avslutad yrkesutbildning (9-årig utbildning)",Svenska/Danska/Norska,42317.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,19.0,20.0,,,,,,,14.0,5.0,0.0,10.0,8.0,6.0,4.0,10.0,12.0,,,,,,,9.0,12.0,0.0,14.0,2.0,0.0,90.0,1.0,123.0,0.0,149.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X4263172242188762785628765464245764457736314431657556000000000000000000000000000000170024002700520024002800290068003800330031006100440026004900610050003100960064005800640062012000740047008700420081003900830054003800450023007000810023004700490032002201120147006700370056003900800105013200320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,X431142312314524413500000000000262416651444416562524226000000165335351445622665666666660000X,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000100010000000001000000010000000000001000010000000100000100000000010010000000000011000000000000000100000000001000011000000000000011000100000000010000010100000000110000000000100100000001000000110000000101000008888888888888888X,X422342321431214300000000000000X,X0101010101010110111001011100011101111110001100110101001110110111010010111011101111001110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101110110100110111010011011011111010111101001010100011111101011001101110011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100011110111100101110101101110100101010111100101111001011001101011101101111100101100100101111101110100111010100101110110011111110111100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NSU1529003,Sundsvall,Dator 04,.,C:\Users\bijonspc\Documents\ATS5\Personer\LEEL194.ATSPF,1990.0,Man,5 Avslutade universitets- eller högskolestudier (med examen).,Svenska/Danska/Norska,42179.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,2.0,0.0,42.0,,,,,,,,,74.0,0.0,71.0,17.0,2.0,0.0,,,,25.0,5.0,0.0,28.0,2.0,0.0,23.0,7.0,0.0,,,,,,,,,,17.0,0.0,0.0,124.0,1.0,148.0,10.0,108.0,8.0,,55.0,5.0,49.0,3.0,63.0,4.0,53.0,3.0,85.0,13.0,62.0,6.0,5.0,9.0,6.0,9.0,6.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,X282762835416657187378384237854616512414854X,,,X4263172544188572788628465453224764467358318431787572786645427355728216213600000000130014001500200019001900130020001100190030002300170019002400200012002400290019001400140019001800130011001600270017001200180027001200180025001500270040002100480020002000200017001600180020002300260025002600400022002100200040004400250020001700440021026700310020002900730026002900240695021500550047000000000000000000000000X,X0000700007000320000900023012860400801296001070003800047006900082501535001580009001115004000132500000X,,X421343322314524221524432525534232412252445414242242353435513335323231322133254235545543541X,,,X422342321431211420000000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010110001011010111010101011000010111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011011010110001101010011010011100011011101110110100110111010011011011100010011101001010100011011101011000101110001010010011010101000110110101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0110010010100110010011100101110101101110000101010111100101111001011001111001101100111100101100100101111101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,X010101010101011010010101110001100111011000110011010101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111010111001011110101000110010011010101010111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110001101100011010110101001101000110100101110111011010011001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110011110010001110100100111101011001010010011010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001001010011101011110010111010110111010010001001110010100000001100000101010000101100000000000000000000000000000000000000000000000000000000000000000010111001000011111010001100111010100001100111101011100000111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111001010101111011101100110111111110110101111X,,
NSU1519351,Sundsvall,Dator 04,.,C:\Users\bijonspc\Documents\ATS5\Personer\PXXB028.ATSPF,1964.0,Man,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,42017.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,12.0,18.0,,,,,,,,,36.0,10.0,30.0,6.0,4.0,2.0,,,,,,,,,,,,,,,,,,,8.0,2.0,1.0,7.0,5.0,0.0,85.0,4.0,63.0,4.0,46.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282757863816997899379927999999999999999999X,,,X4267132242168572788828465455224764427355318831000000000000000000000000000000000000510063002901040040005100370047003300420043005700420039003501000041003200260063004900610094005500980068007601480042003300610107004200420049009400390029009501050045005402370097004000410000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700009000320000200023012860400801316327650005800047327650000000000000000000000000000000000000000X,,,,X0010000000000000000000001000000000000100000000000000000001000000010000000000000000000000000000100000100000000000000000000010000000110000000000009999999999999999000100000000000188888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X414442121432000000000000000000X,X0101010101010110110101011100010101111110001100110101001100010111010010111011101110001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011110000110101001010011010011101011001101110110100110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110110100101010101101110000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
NSU1449003,Sundsvall,Dator 04,.,C:\Users\bijonspc\Documents\ATS5\Personer\DOWG365.ATSPF,1990.0,Man,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,41984.0,Birgitta Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
